experiment_source,evaluation_protocol,experiment_kind,training_method,prediction_method,ratio,predict_ratio,seed,h_model,h_predict,noise_level,best_loss,train_mse,validation_mse,extrapolate_mse,residual_mse,residual_rel_error,model_vf_mse,model_vf_rel_error,instability_rate,final_mse,final_l2_error
euler_train_diffrax_eval,diffrax_eval,euler_only_diffrax_eval,forward_euler,diffrax_tsit5,1,adaptive,0,0.05,adaptive,0,0.0034910157593825847,1.7712379705979364,1.5975870961582952,2.436560582864168,0.15897629624962456,0.35173953965735744,0.1589762962496246,0.018904174330553736,0.0,0.6909218320531306,3.3248683151141627
euler_train_diffrax_eval,diffrax_eval,euler_only_diffrax_eval,forward_euler,diffrax_tsit5,1,adaptive,1,0.05,adaptive,0,0.003474015782098976,1.7670946088222728,1.6008010310790888,2.523590555386219,0.15570608394188862,0.3481030228083198,0.15570608394188865,0.01870873042755332,0.0,0.7452741628390718,3.453170514965218
euler_train_diffrax_eval,diffrax_eval,euler_only_diffrax_eval,forward_euler,diffrax_tsit5,1,adaptive,2,0.05,adaptive,0,0.003524412480625746,1.7676016337482923,1.6009504289902492,2.5297157753948287,0.1833195189388434,0.37771076086828187,0.1833195189388434,0.020299992650629314,0.0,0.7074161640557015,3.3643214211622565
euler_train_diffrax_eval,diffrax_eval,euler_only_diffrax_eval,forward_euler,diffrax_tsit5,1,adaptive,3,0.05,adaptive,0,0.006747691691160828,1.755633954672526,1.614864121379777,1.8132708769051682,0.26037924041201854,0.4501509606908824,0.26037924041201854,0.024193277344526944,0.0,0.2147820203037472,1.853783246461127
euler_train_diffrax_eval,diffrax_eval,euler_only_diffrax_eval,forward_euler,diffrax_tsit5,1,adaptive,4,0.05,adaptive,0,0.003598347668861558,1.7721194331390207,1.6074492768974968,2.4082664091942734,0.19467699077746903,0.38923538594612617,0.19467699077746897,0.020919381422724904,0.0,0.6890349643174132,3.3203251992957874
euler_train_diffrax_eval,diffrax_eval,euler_only_diffrax_eval,forward_euler,diffrax_tsit5,2,adaptive,0,0.025,adaptive,0,0.0032316038585714405,0.45600049872296744,0.41159216381596236,0.5821912386232412,0.08131726648654619,0.2515627821110744,0.08131726648654619,0.013520193643112882,0.0,0.12139726143587065,1.3936843914509232
euler_train_diffrax_eval,diffrax_eval,euler_only_diffrax_eval,forward_euler,diffrax_tsit5,2,adaptive,1,0.025,adaptive,0,0.0045141221093029735,0.46099092013153836,0.43292391994808194,0.6686769295143522,0.10089939961230161,0.2802201069479619,0.1008993996123016,0.015060376089168166,0.0,0.13799158138310477,1.4858887246795018
euler_train_diffrax_eval,diffrax_eval,euler_only_diffrax_eval,forward_euler,diffrax_tsit5,2,adaptive,2,0.025,adaptive,0,0.005951489242016116,0.4705205025484925,0.44140003951702095,0.8184204416974444,0.07463178764317323,0.24099993510715395,0.07463178764317321,0.012952495449774715,0.0,0.21594248126043664,1.8587844684543138
euler_train_diffrax_eval,diffrax_eval,euler_only_diffrax_eval,forward_euler,diffrax_tsit5,2,adaptive,3,0.025,adaptive,0,0.0032239963913869253,0.45901868490821085,0.4197572471917583,0.5645224471695206,0.08340053366345028,0.2547647973495527,0.08340053366345028,0.013692285340100514,0.0,0.1051195975377736,1.2968861016312794
euler_train_diffrax_eval,diffrax_eval,euler_only_diffrax_eval,forward_euler,diffrax_tsit5,2,adaptive,4,0.025,adaptive,0,0.003605323880143635,0.45610475393103017,0.41819034220105483,0.5673780819769136,0.0815523825770675,0.2519261967272381,0.08155238257706751,0.013539725292198797,0.0,0.07471496473583376,1.093361530223805
euler_train_diffrax_eval,diffrax_eval,euler_only_diffrax_eval,forward_euler,diffrax_tsit5,4,adaptive,0,0.0125,adaptive,0,0.003955965495588682,0.11777568526943448,0.1115869740912398,0.23390711169816922,0.026881147151090246,0.14463683259159543,0.026881147151090242,0.00777347892305244,0.0,0.07481313561964636,1.0940795994416228
euler_train_diffrax_eval,diffrax_eval,euler_only_diffrax_eval,forward_euler,diffrax_tsit5,4,adaptive,1,0.0125,adaptive,0,0.004620314487464499,0.11901769740654745,0.114706992751678,0.2615336153984218,0.04012725439059367,0.17671553346020746,0.04012725439059367,0.009497542570001728,0.0,0.0985306706891057,1.2555838207884376
euler_train_diffrax_eval,diffrax_eval,euler_only_diffrax_eval,forward_euler,diffrax_tsit5,4,adaptive,2,0.0125,adaptive,0,0.004207412756058225,0.11837721068686642,0.11366792510358253,0.24617781774953762,0.041993518489547105,0.18077823235437274,0.04199351848954709,0.009715891545560925,0.0,0.07960986248543965,1.1286087895134587
euler_train_diffrax_eval,diffrax_eval,euler_only_diffrax_eval,forward_euler,diffrax_tsit5,4,adaptive,3,0.0125,adaptive,0,0.003025413813414451,0.11580243304602551,0.1076415680322692,0.1404355220861966,0.0159909579664044,0.11155582294043864,0.015990957966404415,0.00599554638215757,0.0,0.012417923912519004,0.44574295574950373
euler_train_diffrax_eval,diffrax_eval,euler_only_diffrax_eval,forward_euler,diffrax_tsit5,4,adaptive,4,0.0125,adaptive,0,0.00324032310224516,0.11580762100095332,0.10820149953387302,0.21738741782365198,0.022174430863373295,0.1313654761810398,0.022174430863373295,0.007060212409334788,0.0,0.045925259388857914,0.8572071804539009
euler_train_diffrax_eval,diffrax_eval,euler_only_diffrax_eval,forward_euler,diffrax_tsit5,8,adaptive,0,0.00625,adaptive,0,0.0028109409780885065,0.02976888905798474,0.027503634107805517,0.04609262900775097,0.004918832748677285,0.06187084271380122,0.004918832748677286,0.003325236616217034,0.0,0.007192412519928936,0.3392323692085751
euler_train_diffrax_eval,diffrax_eval,euler_only_diffrax_eval,forward_euler,diffrax_tsit5,8,adaptive,1,0.00625,adaptive,0,0.0028156261511019507,0.02932779368385753,0.027302018126971497,0.04015799292207133,0.005310946395595043,0.06428963535374375,0.0053109463955950485,0.003455234164344485,0.0,0.0057742084011328885,0.303952849004786
euler_train_diffrax_eval,diffrax_eval,euler_only_diffrax_eval,forward_euler,diffrax_tsit5,8,adaptive,2,0.00625,adaptive,0,0.0041175395990399365,0.031191163767412794,0.03060029804046792,0.09110895435657708,0.024192136431099485,0.13721200642350556,0.02419213643109949,0.007374433059762923,0.0,0.04524079579269341,0.8507953529980606
euler_train_diffrax_eval,diffrax_eval,euler_only_diffrax_eval,forward_euler,diffrax_tsit5,8,adaptive,3,0.00625,adaptive,0,0.0028062724741462486,0.029456199945246512,0.02729298985069859,0.03757812141487075,0.0037072088699214127,0.05371289138544038,0.0037072088699214092,0.0028867890813116977,0.0,0.00293997208207837,0.21688603761711803
euler_train_diffrax_eval,diffrax_eval,euler_only_diffrax_eval,forward_euler,diffrax_tsit5,8,adaptive,4,0.00625,adaptive,0,0.003158078195091123,0.03027597147889293,0.02900700920198535,0.08236272746100559,0.015358739478410422,0.1093283491531911,0.015358739478410422,0.005875831229201247,0.0,0.02785017447577008,0.6675348617205856
euler_train_diffrax_eval,diffrax_eval,euler_only_diffrax_eval,forward_euler,diffrax_tsit5,16,adaptive,0,0.003125,adaptive,0,0.0029488270667848504,0.007517846169298918,0.006996994885993237,0.019217994090852574,0.0038766817254407273,0.05492689851435313,0.003876681725440726,0.0029520356624207146,0.0,0.007069488804216285,0.3363210086620528
euler_train_diffrax_eval,diffrax_eval,euler_only_diffrax_eval,forward_euler,diffrax_tsit5,16,adaptive,1,0.003125,adaptive,0,0.0027295873502036815,0.007374196938696087,0.006720948657320579,0.008047627685202157,0.000983964830680968,0.027672270317552834,0.000983964830680967,0.001487240879188101,0.0,0.0003259089461173279,0.07221179362041387
euler_train_diffrax_eval,diffrax_eval,euler_only_diffrax_eval,forward_euler,diffrax_tsit5,16,adaptive,2,0.003125,adaptive,0,0.004085489985493006,0.00899469603820016,0.008959156503865178,0.042313698494413104,0.01739094823765852,0.116336671667931,0.01739094823765853,0.006252492183248234,0.0,0.029752519955115374,0.6899567517474164
euler_train_diffrax_eval,diffrax_eval,euler_only_diffrax_eval,forward_euler,diffrax_tsit5,16,adaptive,3,0.003125,adaptive,0,0.003313415192934518,0.007580775920942494,0.007304499995797785,0.02451433331721729,0.0064704247965592845,0.07096127341997185,0.006470424796559286,0.0038138000770570387,0.0,0.013693628433174832,0.46807911182918355
euler_train_diffrax_eval,diffrax_eval,euler_only_diffrax_eval,forward_euler,diffrax_tsit5,16,adaptive,4,0.003125,adaptive,0,0.0032968277275523443,0.008123283640781673,0.00800872267792308,0.03629476119020648,0.01283732114013435,0.09995216518225469,0.012837321140134347,0.005371910013762714,0.0,0.018529314368710643,0.5444896967798107
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,heun,diffrax_tsit5,1,adaptive,0,0.05,adaptive,0,0.003909284028726212,0.0012825478179970227,0.0007575658541380327,0.013749266801524492,0.005484278727615686,0.06533031660596225,0.005484278727615686,0.0035111653793385147,0.0,0.014363134916401161,0.47938518819673454
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,heun,diffrax_tsit5,1,adaptive,1,0.05,adaptive,0,0.0029398682236655375,0.00034231604530389264,0.00020535158274021266,0.002939939969612075,0.00011885494389187429,0.009617531759907186,0.00011885494389187481,0.000516892406227723,0.0,0.0006522357606824728,0.10215562721122888
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,heun,diffrax_tsit5,1,adaptive,2,0.05,adaptive,0,0.004324927017277981,0.0016818640876731324,0.0010362640038845301,0.017576574376047125,0.0091691854865265,0.08447347936186678,0.0091691854865265,0.004540011002802709,0.0,0.02080042410297985,0.5768940852944131
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,heun,diffrax_tsit5,1,adaptive,3,0.05,adaptive,0,0.002734006216541842,0.00014415036549465798,7.542572522981914e-05,0.0024252964387143586,0.0003821268744500249,0.017244825118943475,0.0003821268744500243,0.0009268198299968983,0.0,0.001984616790238455,0.17819615215771434
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,heun,diffrax_tsit5,1,adaptive,4,0.05,adaptive,0,0.004251495413121232,0.0016767904743469342,0.0009207509946688815,0.0201495085334695,0.010717001516695744,0.09132541398050002,0.010717001516695732,0.004908266919264016,0.0,0.019935696527501174,0.5647753043822108
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,heun,diffrax_tsit5,2,adaptive,0,0.025,adaptive,0,0.003950668762797053,0.0013158278582080908,0.0007816957133873863,0.014948188279110534,0.006349240300318288,0.07029361615535831,0.00634924030031829,0.003777916964980386,0.0,0.01650584117444847,0.513900242061799
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,heun,diffrax_tsit5,2,adaptive,1,0.025,adaptive,0,0.0030404489745022947,0.0004146997332297915,0.00024107369874165445,0.0032639033969558548,0.0003332159577676599,0.016103411813198434,0.0003332159577676604,0.0008654747900391021,0.0,0.001068695852488663,0.1307636556533145
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,heun,diffrax_tsit5,2,adaptive,2,0.025,adaptive,0,0.004587635960592282,0.001950706658244517,0.0012321386707693093,0.024508633688421204,0.007177887516714676,0.07474004028896916,0.00717788751671468,0.004016889180191799,0.0,0.030889982683682572,0.7030218509683189
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,heun,diffrax_tsit5,2,adaptive,3,0.025,adaptive,0,0.002760319884882321,0.00013659383761249836,5.8701084743428745e-05,0.0020619984680057984,0.00048521638551482456,0.019432234049559384,0.00048521638551482575,0.0010443817048911897,0.0,0.0012924875599217031,0.14380473204574057
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,heun,diffrax_tsit5,2,adaptive,4,0.025,adaptive,0,0.002829936695152074,0.00020614665794803155,0.00010825329887333295,0.0030600323971617994,0.003701463239434398,0.05367125169009816,0.003701463239434397,0.0028845511638441682,0.0,0.0023014068317676398,0.19189192090414395
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,heun,diffrax_tsit5,4,adaptive,0,0.0125,adaptive,0,0.002827212345899689,0.00019830261862718222,9.31735784258852e-05,0.0027464520710781797,0.0006684044935709508,0.022807342472573624,0.0006684044935709523,0.0012257762619982328,0.0,0.0016363705005954016,0.16180830636752375
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,heun,diffrax_tsit5,4,adaptive,1,0.0125,adaptive,0,0.002787838672341087,0.00016208360919245344,8.763317788378644e-05,0.0035946426929933314,0.0002745699731902143,0.014617783457779802,0.00027456997319021337,0.000785629978026763,0.0,0.002249879222167936,0.18973156710122585
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,heun,diffrax_tsit5,4,adaptive,2,0.0125,adaptive,0,0.0036615348282056817,0.0010329820402919891,0.0005941327999713426,0.011834377530669979,0.00834844661827943,0.08060423132794378,0.008348446618279434,0.004332059006752775,0.0,0.013035742255316599,0.4566967003220689
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,heun,diffrax_tsit5,4,adaptive,3,0.0125,adaptive,0,0.002701003807335577,7.344598639455604e-05,3.545698175414172e-05,0.0020204815602785694,0.0002028872600688629,0.012565575734312587,0.00020288726006886074,0.0006753344661695355,0.0,0.0022833540231588564,0.1911378151244324
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,heun,diffrax_tsit5,4,adaptive,4,0.0125,adaptive,0,0.004196091540635502,0.0015705057611906206,0.0008953500788630056,0.020075404380488,0.012135587492647528,0.09718190461582195,0.012135587492647523,0.005223022889102466,0.0,0.020474334000304732,0.5723542120093779
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,heun,diffrax_tsit5,8,adaptive,0,0.00625,adaptive,0,0.0033336651099834715,0.0007106492905033156,0.00040782538260420684,0.008152646726991765,0.0040238365549110705,0.05595967316639619,0.004023836554911071,0.0030075419386995147,0.0,0.00733312783204529,0.34253473592137285
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,heun,diffrax_tsit5,8,adaptive,1,0.00625,adaptive,0,0.0033727318361193356,0.0007477633868400653,0.00046833082557866314,0.005676157881503315,0.0019495867396026154,0.038951688154037836,0.0019495867396026173,0.0020934510349635465,0.0,0.0049679862351870024,0.2819357724074617
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,heun,diffrax_tsit5,8,adaptive,2,0.00625,adaptive,0,0.004517032795216119,0.0018708583213686762,0.0011779701782593792,0.022406855194081886,0.00806027196043562,0.07920085158200832,0.008060271960435616,0.004256634630536851,0.0,0.028514975699820474,0.6754551141246379
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,heun,diffrax_tsit5,8,adaptive,3,0.00625,adaptive,0,0.0027142192121142367,8.66059409774293e-05,3.854333368446227e-05,0.0019229183593449022,0.00027003207598821547,0.014496484018631704,0.00027003207598821726,0.0007791107628538358,0.0,0.0018715940101946401,0.17304769331925302
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,heun,diffrax_tsit5,8,adaptive,4,0.00625,adaptive,0,0.004610686320073536,0.00198674418974167,0.001166862475768449,0.026468553653499986,0.009987070947160592,0.08816050535926429,0.0099870709471606,0.004738169510327865,0.0,0.03029548865843187,0.6962239715313671
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,heun,diffrax_tsit5,16,adaptive,0,0.003125,adaptive,0,0.0027935534612228904,0.00016679958827427128,7.90730809480922e-05,0.002387970519447568,0.0005522195835113297,0.020730553868412133,0.0005522195835113299,0.0011141596554062607,0.0,0.0014551170738408019,0.1525839873035596
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,heun,diffrax_tsit5,16,adaptive,1,0.003125,adaptive,0,0.002757413962596787,0.00013153777910137433,7.859780561640897e-05,0.003801918320652922,0.00035688897476159303,0.01666562361618473,0.000356888974761594,0.0008956907559344954,0.0,0.0030215293891994463,0.21987375975134263
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,heun,diffrax_tsit5,16,adaptive,2,0.003125,adaptive,0,0.004610889582498102,0.0019862187281247316,0.0012501171615455402,0.0251234143102502,0.0070902086170785755,0.07428215769650705,0.007090208617078576,0.003992280367775481,0.0,0.03204973948375901,0.7160976412055441
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,heun,diffrax_tsit5,16,adaptive,3,0.003125,adaptive,0,0.0027217323585703923,9.390276968645918e-05,4.252024584949929e-05,0.001966947742744907,0.0002961250394762276,0.015180726965243885,0.0002961250394762268,0.0008158852692394633,0.0,0.0017658518117347848,0.1680881583805253
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,heun,diffrax_tsit5,16,adaptive,4,0.003125,adaptive,0,0.0042915039785222115,0.0016668622543861446,0.0009656146660697469,0.02131575554723883,0.012092187459562087,0.09700797502511685,0.012092187459562089,0.005213675076493359,0.0,0.02233076690601276,0.5977392997755829
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,1,adaptive,0,0.05,adaptive,0,0.003123672379175768,0.0005127974923810578,0.00027719918296281927,0.00579765615956113,0.002589240878291444,0.04488913439806956,0.002589240878291442,0.0024125579485189752,0.0,0.004630799177418995,0.272199902348814
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,1,adaptive,1,0.05,adaptive,0,0.0028332959529364632,0.0002073131931972655,0.00010874584907795596,0.003173143226869559,0.0001488897570028529,0.010764340178339432,0.0001488897570028526,0.0005785274054857193,0.0,0.0013216499921117398,0.14541801770684348
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,1,adaptive,2,0.05,adaptive,0,0.00405513495469845,0.0014267010653175483,0.0008651117658003549,0.01430673942984126,0.010923670787378102,0.09220177991871732,0.010923670787378102,0.004955367039112806,0.0,0.016892905736780053,0.5198908460325887
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,1,adaptive,3,0.05,adaptive,0,0.003153679019202449,0.0005265870802396408,0.00028682523424696947,0.005274804788938759,0.0027422730878473114,0.04619663626786428,0.002742273087847312,0.0024828293866069498,0.0,0.004496670275285811,0.2682288657183879
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,1,adaptive,4,0.05,adaptive,0,0.003702630780379981,0.0010758354332204851,0.0005616658403579603,0.014556419467259694,0.010249913465816923,0.08931308749919031,0.010249913465816924,0.004800114817144006,0.0,0.014396483870420244,0.47994139426259524
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,2,adaptive,0,0.025,adaptive,0,0.003692636055929879,0.0010680709593190627,0.0006055647879511473,0.011554631389685939,0.0060438905318359205,0.06858249781432507,0.006043890531835916,0.0036859532367893174,0.0,0.012111546143617388,0.4402098798276547
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,2,adaptive,1,0.025,adaptive,0,0.0027637509767333896,0.00013937354010606996,7.884284400078993e-05,0.004013849729392662,0.0003525954857361762,0.01656507388659354,0.00035259548573617636,0.0008902867299357863,0.0,0.002977977747480531,0.21828340284980097
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,2,adaptive,2,0.025,adaptive,0,0.004547994792979821,0.001926932641267694,0.0012704986192742182,0.024261917839133205,0.007981469924551687,0.07881274322767644,0.007981469924551683,0.004235775821212822,0.0,0.03005738813310331,0.6934826675048577
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,2,adaptive,3,0.025,adaptive,0,0.002720857775514411,9.330961251418805e-05,4.0837266653951634e-05,0.0019046409127619303,0.0003042835424224929,0.015388427234241013,0.00030428354242249144,0.0008270480804987523,0.0,0.001700239722593856,0.16493585286862797
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,2,adaptive,4,0.025,adaptive,0,0.00455828103296353,0.0019261586693675324,0.001121673691431359,0.025321200219162295,0.010499347116445257,0.0903932810541149,0.010499347116445257,0.00485816961329495,0.0,0.028409603140205332,0.6742059405280298
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,4,adaptive,0,0.0125,adaptive,0,0.002702376819075037,7.427811127630544e-05,4.2196852136874796e-05,0.0014953556808387698,0.00023428290838158384,0.01350284575958014,0.00023428290838158243,0.0007257078645361817,0.0,0.0013923606378683723,0.14925739581640152
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,4,adaptive,1,0.0125,adaptive,0,0.0028415585028088203,0.0002215393568573742,0.00011342812463995616,0.003247684439416296,0.00013199670399672704,0.010135298571085548,0.00013199670399672694,0.0005447196845332129,0.0,0.0012137108930781744,0.13935341506131377
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,4,adaptive,2,0.0125,adaptive,0,0.00432469136508362,0.001703035141725844,0.0010903542786433393,0.018909541238929923,0.009991727020564643,0.08818105362386171,0.009991727020564643,0.00473927387288124,0.0,0.023005652012183138,0.6067045674749203
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,4,adaptive,3,0.0125,adaptive,0,0.0027645025011884274,0.0001369936773453421,5.8760791582923565e-05,0.0019756137620516078,0.0005330804648572132,0.02036814074645094,0.000533080464857215,0.0010946818314348415,0.0,0.0011875400623273973,0.137842812642656
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,4,adaptive,4,0.0125,adaptive,0,0.004194029087352166,0.0015741640160705543,0.0008809180586759525,0.019713688688057146,0.012097821445922679,0.09703057134872292,0.012097821445922677,0.005214889511586708,0.0,0.020436736549280198,0.5718284574839584
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,8,adaptive,0,0.00625,adaptive,0,0.0038863874423511395,0.0012598010879699693,0.000740367264814516,0.014168932584391232,0.0065461242825646405,0.07137516523905411,0.006546124282564645,0.0038360446137660565,0.0,0.015554268065183223,0.49886700536609113
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,8,adaptive,1,0.00625,adaptive,0,0.0028401616754344427,0.00021170248393531868,0.00011734402657996848,0.0031122418258073456,0.0001414028889204539,0.010490209091257495,0.00014140288892045463,0.0005637942826054522,0.0,0.0013197972634043868,0.14531605628584265
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,8,adaptive,2,0.00625,adaptive,0,0.0034410178076203822,0.0008138184367655542,0.0004481964561240832,0.009870470912333664,0.006702859741401057,0.07222458737559503,0.006702859741401055,0.0038816966441435423,0.0,0.010252809215099397,0.4050246257224249
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,8,adaptive,3,0.00625,adaptive,0,0.0027162026498931857,8.710436581417198e-05,4.065398638558773e-05,0.0019472429423954894,0.00026773384469116926,0.014434662724320379,0.00026773384469116937,0.0007757881892070372,0.0,0.0018753090405616679,0.1732193541408889
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,8,adaptive,4,0.00625,adaptive,0,0.004044674551583598,0.001413607911804213,0.0007688757997679312,0.017948185576154914,0.011847979020558284,0.09602341377452357,0.011847979020558288,0.005160760020260402,0.0,0.01812147119821141,0.5384640555983125
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,16,adaptive,0,0.003125,adaptive,0,0.0027323066619665552,0.00010426501002214273,5.2808371658636064e-05,0.0017013543691039165,0.0003153611827373881,0.01566603604079693,0.00031536118273738865,0.0008419681127474533,0.0,0.0013053898261675982,0.14452071553476883
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,16,adaptive,1,0.003125,adaptive,0,0.003809907740280911,0.0011869751642437747,0.0007883781885899823,0.010689147999763242,0.004510831738904743,0.05924931275453533,0.004510831738904743,0.003184342989611939,0.0,0.012461354744280447,0.446521753007048
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,16,adaptive,2,0.003125,adaptive,0,0.004400493330277963,0.0017738048004509383,0.001137223177631742,0.020462834450637717,0.009305417302378117,0.08509870092542039,0.009305417302378112,0.0045736134162366725,0.0,0.025118445047781636,0.6339519861665441
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,16,adaptive,3,0.003125,adaptive,0,0.0032117479935518545,0.0005855777250861544,0.00031776448536095824,0.005846361930874894,0.0030510784993840233,0.04872834868870151,0.003051078499384018,0.0026188957867761104,0.0,0.005341188336158754,0.2923337362990116
heun_rk4_train_diffrax_eval,diffrax_eval,prediction_sweep_diffrax_eval,rk4,diffrax_tsit5,16,adaptive,4,0.003125,adaptive,0,0.0036695587948869703,0.0010420525364096779,0.0005591160757861782,0.014458716453845916,0.010107867616654734,0.08869206694266468,0.010107867616654737,0.0047667381860298196,0.0,0.014182100892305618,0.47635450483530634
diffrax_train_rk4_eval,rk4_high_precision_eval,diffrax_train_rk4_predict,diffrax_tsit5,rk4_high_precision,adaptive,16,0,adaptive,0.003125,0,0.0028578538344123296,0.00028864517552251094,0.0001680692566718537,0.003093228990797622,0.0007971495257197207,0.02490719950789269,0.0007971495257197192,0.0013386326770136723,0.0,0.0017917261609182735,0.1693151457333111
diffrax_train_rk4_eval,rk4_high_precision_eval,diffrax_train_rk4_predict,diffrax_tsit5,rk4_high_precision,adaptive,16,1,adaptive,0.003125,0,0.002817807845566645,0.00019410491063314868,0.00010730907435569406,0.00327023468003107,0.00017875781138672296,0.011794716806428523,0.0001787578113867227,0.0006339048004254495,0.0,0.0016115332620204967,0.16057562764108363
diffrax_train_rk4_eval,rk4_high_precision_eval,diffrax_train_rk4_predict,diffrax_tsit5,rk4_high_precision,adaptive,16,2,adaptive,0.003125,0,0.004281453653952534,0.001655766160219251,0.0010280944215991304,0.017738026162378684,0.010434364385192891,0.0901131150910278,0.010434364385192891,0.004843112147157236,0.0,0.021579172971695884,0.5875940499589272
diffrax_train_rk4_eval,rk4_high_precision_eval,diffrax_train_rk4_predict,diffrax_tsit5,rk4_high_precision,adaptive,16,3,adaptive,0.003125,0,0.002711076444169269,9.680230967800683e-05,4.9322948742587435e-05,0.0017943878430078247,0.00024082009279148764,0.013689934277057584,0.00024082009279148943,0.0007357629011495959,0.0,0.001872939174533743,0.17310986913674184
diffrax_train_rk4_eval,rk4_high_precision_eval,diffrax_train_rk4_predict,diffrax_tsit5,rk4_high_precision,adaptive,16,4,adaptive,0.003125,0,0.0045800023215679594,0.0019727400929241542,0.0011652759187590104,0.02603985904700945,0.010212002086293496,0.08914776322075722,0.0102120020862935,0.004791229495398216,0.0,0.02933118290024543,0.6850539587535618
