experiment_kind,training_method,nominal_order,ratio,observation_dt,h_model,seed,initial_matched_train_mse,initial_correction_max_abs,initial_continuous_train_mse,initial_continuous_validation_mse,initial_continuous_extrapolation_mse,initial_continuous_final_mse,initial_gradient_norm,best_loss,best_gradient_norm,best_epoch,final_loss,final_gradient_norm,epochs_completed,matched_train_mse,matched_loss_reduction,matched_loss_relative_reduction,continuous_train_mse,continuous_validation_mse,continuous_extrapolation_mse,continuous_final_mse,matched_extrapolation_mse,matched_final_mse,continuous_over_matched_train_ratio,continuous_instability_rate,matched_instability_rate,correction_mse,correction_rms,correction_relative_to_true_vf,correction_prey_rms,correction_predator_rms,model_vf_mse,model_vf_rel_error,euler_imde_cosine_similarity,euler_imde_magnitude_ratio,euler_imde_relative_error
exact_physics_zero_residual_sweep,forward_euler,1,1,0.05,0.05,0,1.9576351717931202,0.0,2.445037906605515e-16,3.0942580948944177e-16,3.806955082986343e-16,2.307247529585381e-16,17.76871585322597,3.6181763562851407e-05,0.004228308378605353,29950,0.00019049731798507816,0.239103524721273,30000,3.6181763562851407e-05,1.9575989900295574,0.9999815176167224,1.7917011720891713,1.615962630675579,3.051027747960827,1.2844336476482736,0.012014190576185095,0.000961678883980216,49519.45388114662,0.0,0.0,0.38492842199157035,0.620426000415497,0.02941585769568472,0.6589678447213507,0.5793256628239754,0.38492842199157024,0.02941585769568472,0.9811382592625155,0.9071160021057056,0.20699519503097547
exact_physics_zero_residual_sweep,forward_euler,1,1,0.05,0.05,1,1.9576351717931202,0.0,2.445037906605515e-16,3.0942580948944177e-16,3.806955082986343e-16,2.307247529585381e-16,17.774887533535757,3.852159327345791e-05,0.0009841578766237751,29300,5.8171262473165336e-05,0.08096649107977674,30000,3.852159327345584e-05,1.9575966501998467,0.9999803223839516,1.788003048344814,1.6166223362588001,3.173002088917113,1.565615003968192,0.015369178399632106,0.01773260512129183,46415.604766194265,0.0,0.0,0.3686358888983537,0.6071539252103652,0.028786597356338643,0.6956067388179793,0.5033915401630457,0.36863588889835386,0.02878659735633865,0.9632256651144829,0.887711090332726,0.2791035095967632
exact_physics_zero_residual_sweep,forward_euler,1,1,0.05,0.05,2,1.9576351717931202,0.0,2.445037906605515e-16,3.0942580948944177e-16,3.806955082986343e-16,2.307247529585381e-16,17.772790123667022,3.890061851719776e-05,0.014051412909683817,29900,3.9110582920685466e-05,0.0020883428254345033,30000,3.890061851719752e-05,1.9575962711746029,0.9999801287701213,1.791939664046139,1.6218347929105827,3.1622073271648397,1.5302886420826025,0.013913458610846113,0.014668444420031025,46064.554558533375,0.0,0.0,0.3949843996736447,0.6284778434230157,0.029797614533629203,0.7320108378278022,0.504112023909298,0.3949843996736448,0.02979761453362921,0.9531031998749175,0.9188884868720949,0.3045733687866667
exact_physics_zero_residual_sweep,forward_euler,1,1,0.05,0.05,3,1.9576351717931202,0.0,2.445037906605515e-16,3.0942580948944177e-16,3.806955082986343e-16,2.307247529585381e-16,17.77712920871706,4.847616954166415e-05,0.016044312974595524,30000,4.847616954166415e-05,0.016044312974595524,30000,4.847616954166415e-05,1.9575866956235786,0.9999752373832264,1.7900172993868209,1.617623992204578,2.9800029845643747,1.2723733429761805,0.01911257130983602,0.003273166324513606,36925.71662140801,0.0,0.0,0.3799143613124621,0.616371934234892,0.02922364487130647,0.6970358233898345,0.5234212295428794,0.37991436131246203,0.02922364487130647,0.9651999504556652,0.9011886097921026,0.2692331840132769
exact_physics_zero_residual_sweep,forward_euler,1,1,0.05,0.05,4,1.9576351717931202,0.0,2.445037906605515e-16,3.0942580948944177e-16,3.806955082986343e-16,2.307247529585381e-16,17.776723622764514,3.7011264482511665e-05,0.008700110708800465,29950,6.546958070837678e-05,0.09788691050132853,30000,3.701126448251458e-05,1.9575981605286377,0.999981093890723,1.7921282131919922,1.617534678444412,2.982851608983572,1.2909758526148731,0.01823069838093794,0.0018268440877192405,48421.15605206238,0.0,0.0,0.3797280651658285,0.6162207925458444,0.029216478887911294,0.7053553433834098,0.5117909435425066,0.37972806516582863,0.029216478887911294,0.9674328330477844,0.900967627685246,0.2617084963561973
exact_physics_zero_residual_sweep,forward_euler,1,2,0.05,0.025,0,0.4811551638293863,0.0,2.445037906605515e-16,3.0942580948944177e-16,3.806955082986343e-16,2.307247529585381e-16,8.499132924745668,9.183587723267906e-06,0.00038843482420031005,30000,9.183587723267906e-06,0.00038843482420031005,30000,9.183587723268026e-06,0.481145980241663,0.99998091345908,0.45950296218125475,0.41483659676535756,0.8743538756463324,0.4290281608298421,0.0034724798639811883,0.0006941656942030582,50035.23416202947,0.0,0.0,0.10796988259510086,0.3285877091357814,0.015579117067976052,0.37066490341331326,0.28026290258933817,0.10796988259510083,0.015579117067976048,0.9722221050790183,0.960846801561211,0.23433645880623377
exact_physics_zero_residual_sweep,forward_euler,1,2,0.05,0.025,1,0.4811551638293863,0.0,2.445037906605515e-16,3.0942580948944177e-16,3.806955082986343e-16,2.307247529585381e-16,8.502084482726541,9.44254825771996e-06,0.0049408408286668055,30000,9.44254825771996e-06,0.0049408408286668055,30000,9.442548257720214e-06,0.48114572128112854,0.9999803752532082,0.46124436161633514,0.41639280186279154,0.8614626009866262,0.3722557321127799,0.002383227921863059,0.0012454635888157826,48847.44552289922,0.0,0.0,0.10744822814424163,0.32779296536722935,0.015541436394399184,0.33354730199376414,0.32193579114656384,0.10744822814424161,0.015541436394399184,0.9910148385035537,0.9585228345142319,0.13764200009087615
exact_physics_zero_residual_sweep,forward_euler,1,2,0.05,0.025,2,0.4811551638293863,0.0,2.445037906605515e-16,3.0942580948944177e-16,3.806955082986343e-16,2.307247529585381e-16,8.501081414371273,6.161176291857945e-06,0.0024886199434917856,29450,1.4335370667194505e-05,0.03603545767328032,30000,6.161176291857183e-06,0.4811490026530944,0.9999871950323824,0.45946944735448014,0.4144349791574746,0.8883920417253867,0.4295721922850099,0.0026158385422592367,0.000526297175835031,74574.95542884081,0.0,0.0,0.10711334687301083,0.32728175456785064,0.015517198686571093,0.37254927206531285,0.27465202280272244,0.10711334687301084,0.015517198686571095,0.969219346947445,0.9570279664840232,0.24650048125788912
exact_physics_zero_residual_sweep,forward_euler,1,2,0.05,0.025,3,0.4811551638293863,0.0,2.445037906605515e-16,3.0942580948944177e-16,3.806955082986343e-16,2.307247529585381e-16,8.503157702218802,1.076953962951046e-05,0.004407352158891745,29050,1.1018554633445005e-05,0.012834836734624393,30000,1.076953962951046e-05,0.48114439428975675,0.9999776173250562,0.4594505248075528,0.41516565373002784,0.8485867745761321,0.38279331253682913,0.0040880304055736895,0.0014320650741953549,42662.039475538615,0.0,0.0,0.1080050596365104,0.3286412324047462,0.015581654732197444,0.34881581202796597,0.30714434481574215,0.1080050596365104,0.015581654732197444,0.9812543228715718,0.9610033127768288,0.19377837148586033
exact_physics_zero_residual_sweep,forward_euler,1,2,0.05,0.025,4,0.4811551638293863,0.0,2.445037906605515e-16,3.0942580948944177e-16,3.806955082986343e-16,2.307247529585381e-16,8.502962329022727,1.3409685556667817e-05,0.005836473826574325,29950,3.0162332223262535e-05,0.05927049448372473,30000,1.3409685556667817e-05,0.4811417541438296,0.9999721302262456,0.4606874569290026,0.41720905548220005,0.8326994195358234,0.4056315894141638,0.0065257580653221,0.0006822325961078668,34354.82920029626,0.0,0.0,0.1160361594127841,0.3406408070281423,0.016150582822403503,0.40052439309510623,0.26767990092901073,0.1160361594127841,0.016150582822403503,0.947517524158211,0.9960921264372962,0.3233729014615588
exact_physics_zero_residual_sweep,forward_euler,1,4,0.05,0.0125,0,0.1190970091894377,0.0,2.445037906605515e-16,3.0942580948944177e-16,3.806955082986343e-16,2.307247529585381e-16,4.146905629421343,2.5308624820526137e-06,0.0002335219227074341,30000,2.5308624820526137e-06,0.0002335219227074341,30000,2.5308624820526137e-06,0.11909447832695565,0.9999787495714688,0.11641457641058423,0.10517667120932522,0.2275886404780172,0.11137028791494767,0.0010576494151402316,0.00013988310341423002,45997.98576024096,0.0,0.0,0.0246947334544873,0.15714558044847235,0.00745064202480605,0.15779097386656268,0.15649752546036094,0.024694733454487295,0.00745064202480605,0.9839660440708748,0.9190412432073063,0.18980530520163627
exact_physics_zero_residual_sweep,forward_euler,1,4,0.05,0.0125,1,0.1190970091894377,0.0,2.445037906605515e-16,3.0942580948944177e-16,3.806955082986343e-16,2.307247529585381e-16,4.148345646040156,3.852369697358602e-06,0.0009168424102130564,30000,3.852369697358602e-06,0.0009168424102130564,30000,3.852369697358602e-06,0.11909315681974035,0.9999676535143613,0.11642192914531724,0.10523817199696663,0.21801390788618524,0.10416701820152804,0.0018544299200831927,0.0004759893592478308,30220.861000215675,0.0,0.0,0.0331699093726609,0.1821260809787025,0.008635026380510225,0.18955746624514902,0.17437828344160575,0.0331699093726609,0.008635026380510225,0.9719598415419773,1.0651357766820888,0.2529344209848257
exact_physics_zero_residual_sweep,forward_euler,1,4,0.05,0.0125,2,0.1190970091894377,0.0,2.445037906605515e-16,3.0942580948944177e-16,3.806955082986343e-16,2.307247529585381e-16,4.147856254793347,3.438980014316258e-06,0.003287234212834305,29850,2.4776689000601704e-05,0.059822134844151685,30000,3.438980014316258e-06,0.11909357020942339,0.9999711245476464,0.11627075550260488,0.10491699298454482,0.22053372328126586,0.10744674906379274,0.0016655974097924248,0.0002814187540701751,33809.663045024114,0.0,0.0,0.03190912497936273,0.17863125420643144,0.008469328413411251,0.18920382650148007,0.1673922399513289,0.031909124979362755,0.008469328413411255,0.9763731610198702,1.0446968312633513,0.22663533342267328
exact_physics_zero_residual_sweep,forward_euler,1,4,0.05,0.0125,3,0.1190970091894377,0.0,2.445037906605515e-16,3.0942580948944177e-16,3.806955082986343e-16,2.307247529585381e-16,4.148869524952345,3.42836060420662e-06,0.0022515880651170724,29950,4.349372434655672e-06,0.00923594843314083,30000,3.42836060420662e-06,0.11909358082883349,0.9999712137136982,0.1163709292966776,0.10513943031882958,0.2239403711611552,0.11561857316350202,0.0015144444059172863,0.00017063363430322377,33943.608252261954,0.0,0.0,0.03477561869015286,0.1864822208419689,0.008841561229524498,0.21259294457291325,0.1560624147516754,0.034775618690152874,0.008841561229524498,0.9600370555577238,1.0906119764205473,0.30883435999640013
exact_physics_zero_residual_sweep,forward_euler,1,4,0.05,0.0125,4,0.1190970091894377,0.0,2.445037906605515e-16,3.0942580948944177e-16,3.806955082986343e-16,2.307247529585381e-16,4.148773882207258,3.003009445806769e-06,2.393098173310669e-05,29850,3.129221230849397e-06,0.0010541512850519874,30000,3.003009445806769e-06,0.1190940061799919,0.9999747851817082,0.11647352599151012,0.10522197599064066,0.22304135009604795,0.11061706236730673,0.001462319085070051,0.0001762873952263304,38785.6009424636,0.0,0.0,0.02625306903804911,0.1620279884404207,0.007682128485088573,0.1674703498364806,0.15639635546183622,0.02625306903804912,0.007682128485088575,0.9808459519702317,0.9475952394314436,0.1976027033922939
exact_physics_zero_residual_sweep,heun,2,1,0.05,0.05,0,3.4887000886791745e-05,0.0,2.445037906605515e-16,3.0942580948944177e-16,3.806955082986343e-16,2.307247529585381e-16,0.006260379790312642,1.5726371809760576e-06,0.002433504842201978,18400,1.5826183382503136e-06,2.7855229201676757e-06,21400,1.5726371809760576e-06,3.331436370581569e-05,0.9549219726258711,3.344392368059496e-05,3.0583884149717254e-05,0.0001331368484433429,1.0443124010141211e-05,0.00025230413631906163,0.0003697627098695058,21.266140776245656,0.0,0.0,5.456609480695566e-05,0.007386886678903072,0.0003502296925261715,0.010238882555796646,0.0020730348821268022,5.4566094806955905e-05,0.0003502296925261723,,,
exact_physics_zero_residual_sweep,heun,2,1,0.05,0.05,1,3.4887000886791745e-05,0.0,2.445037906605515e-16,3.0942580948944177e-16,3.806955082986343e-16,2.307247529585381e-16,0.006262541815219688,2.040386753401509e-06,6.5587934476877936e-06,24450,2.0492553452744557e-06,2.5152619928190928e-06,27450,2.040386753401509e-06,3.284661413339024e-05,0.9415144122011933,3.259990332595265e-05,3.143874754718448e-05,0.00012533997058235662,1.0692694130874695e-05,0.0002989387554175083,0.000383425953895856,15.977315708213489,0.0,0.0,8.196011711600452e-06,0.0028628677425966524,0.00013573530132746155,0.0036767586465217927,0.0016951310505173745,8.196011711600415e-06,0.00013573530132746125,,,
exact_physics_zero_residual_sweep,heun,2,1,0.05,0.05,2,3.4887000886791745e-05,0.0,2.445037906605515e-16,3.0942580948944177e-16,3.806955082986343e-16,2.307247529585381e-16,0.006261800304450023,2.0206244074415387e-06,0.0006811251381484191,16050,2.06837390828857e-06,2.4697478918496473e-06,19050,2.020624407441484e-06,3.286637647935026e-05,0.9420808795230519,3.274833017101753e-05,3.17167050861889e-05,0.00012249176890797867,9.435074955798653e-06,0.0003056253654174714,0.0003982291365333562,16.207034840524116,0.0,0.0,8.958176979095558e-06,0.002993021379658949,0.00014190619175409794,0.003898750127270784,0.0016480598906887932,8.958176979095525e-06,0.0001419061917540977,,,
exact_physics_zero_residual_sweep,heun,2,1,0.05,0.05,3,3.4887000886791745e-05,0.0,2.445037906605515e-16,3.0942580948944177e-16,3.806955082986343e-16,2.307247529585381e-16,0.006263360676622859,2.414506417057734e-06,0.0009109811736733926,8250,2.422852125554537e-06,1.7210370171483202e-06,11250,2.414506417057734e-06,3.247249446973401e-05,0.9307906568153335,3.218352939375064e-05,3.194004075491637e-05,0.00013047452011811413,9.932175008574412e-06,0.000345997129172562,0.00044739366964048296,13.329237465009019,0.0,0.0,1.9655088159402905e-05,0.004433405932170311,0.00021019821529173437,0.005837211640888898,0.0022884790971903065,1.9655088159402563e-05,0.00021019821529173256,,,
exact_physics_zero_residual_sweep,heun,2,1,0.05,0.05,4,3.4887000886791745e-05,0.0,2.445037906605515e-16,3.0942580948944177e-16,3.806955082986343e-16,2.307247529585381e-16,0.006263183200826574,1.6362384134716788e-06,0.00017527737841884457,29950,1.810638401206659e-06,0.0038244911739626613,30000,1.6362384134716788e-06,3.3250762473320066e-05,0.953098908708683,3.304531968590732e-05,2.964233211431711e-05,0.00012764857617407507,9.20057517360146e-06,0.0002824619350472079,0.0004066022588631717,20.195907524132508,0.0,0.0,6.279400351898718e-05,0.007924266749610791,0.00037570814713292405,0.010933663800809429,0.002458252006781216,6.279400351898714e-05,0.0003757081471329239,,,
