experiment_kind,training_solver,nominal_order,ratio,observation_dt,h,true_alpha,alpha_hat,signed_alpha_bias,absolute_alpha_bias,relative_alpha_bias,matched_train_loss,matched_train_mse_recomputed,matched_loss_at_true_alpha,discrete_loss_reduction_vs_true_alpha,continuous_train_mse,continuous_validation_mse,continuous_extrapolation_mse,continuous_final_mse,matched_extrapolation_mse,matched_final_mse,train_compensation_ratio_continuous_over_matched,train_compensation_gap_log10,extrapolation_compensation_ratio_continuous_over_matched,extrapolation_compensation_gap_log10,continuous_instability_rate,matched_instability_rate,optimizer_success,optimizer_nfev,optimum_at_search_boundary,local_parameter_bias_order,residual_mse,residual_relative_error,model_vector_field_mse,model_vector_field_relative_error
one_parameter_rollout_supervision,forward_euler,1,1,0.05,0.05,0.005,0.0051314670610592165,0.0001314670610592164,0.0001314670610592164,0.02629341221184328,1.8263847190528975,1.8263847190528975,1.9576351717931202,0.13125045274022273,0.1309127253934241,0.12072498582374602,0.25833548188156186,0.014371800241464307,5.611081321830879,3.230994322657139,0.07167861405526384,-1.144610400583239,0.046040231296677725,-1.3368625032303758,0.0,0.0,True,8,False,,0.0008883495627756734,0.026293412211843274,0.0008883495627756664,0.0014131344134222048
one_parameter_rollout_supervision,forward_euler,1,2,0.05,0.025,0.005,0.005051911638308333,5.1911638308333244e-05,5.1911638308333244e-05,0.010382327661666649,0.4605671434836832,0.4605671434836832,0.4811551638293863,0.020588020345703062,0.020652625228503498,0.01904244472911898,0.04080012221807281,0.002330811688041604,1.2128392740866547,0.6503167518410982,0.04484172507897358,-1.348317688274477,0.03364017235408039,-1.473141787777981,0.0,0.0,True,8,False,1.340571454613607,0.00013850946589399096,0.010382327661666654,0.00013850946589398838,0.0005579962156268884
one_parameter_rollout_supervision,forward_euler,1,4,0.05,0.0125,0.005,0.00502260957799743,2.2609577997430123e-05,2.2609577997430123e-05,0.004521915599486025,0.11517192734254496,0.11517192734254496,0.1190970091894377,0.003925081846892747,0.00393478835033233,0.0036278029292152324,0.007776008266242967,0.000449569515900268,0.2816327985153875,0.14442479900941346,0.03416447428746643,-1.4664252576812034,0.027610449873856264,-1.5589265170788964,0.0,0.0,True,8,False,1.199123954495471,2.6274526421908576e-05,0.004521915599486022,2.6274526421907696e-05,0.00024302948954438286
one_parameter_rollout_supervision,forward_euler,1,8,0.05,0.00625,0.005,0.005010490861937737,1.0490861937736615e-05,1.0490861937736615e-05,0.002098172387547323,0.028768176231204447,0.028768176231204447,0.029615639503741475,0.0008474632725370274,0.00084867773356577,0.0007824465677264412,0.0016773945923605283,9.749200315045873e-05,0.06785357036017997,0.033973366950683134,0.02950057475820177,-1.5301695226020462,0.024720800739837137,-1.6069374659755966,0.0,0.0,True,8,False,1.107800848988798,5.6568195793001035e-06,0.00209817238754733,5.656819579300101e-06,0.00011276587390965773
one_parameter_rollout_supervision,forward_euler,1,16,0.05,0.003125,0.005,0.0050050452582811504,5.045258281150336e-06,5.045258281150336e-06,0.0010090516562300672,0.0071871992383840955,0.0071871992383840955,0.007383494270459378,0.0001962950320752825,0.0001964445343823292,0.00018111196297662197,0.0003882908606704676,2.2622932373321454e-05,0.016653022838999665,0.008236025571384116,0.02733255721271698,-1.563319734153744,0.023316539250827804,-1.6323359091361442,0.0,0.0,True,9,False,1.056133183775446,1.3083284698399302e-06,0.0010090516562300635,1.3083284698397928e-06,5.423128838702151e-05
one_parameter_rollout_supervision,heun,2,1,0.05,0.05,0.005,0.005000546612814796,5.466128147960103e-07,5.466128147960103e-07,0.00010932256295920206,3.2577001870304445e-05,3.2577001870304445e-05,3.4887000886791745e-05,2.3099990164873003e-06,2.3074063063179532e-06,2.127293285309039e-06,4.561015052164956e-06,2.662811986018477e-07,0.0004988444559862455,0.00044102029367026473,0.0708293020795529,-1.1497870375252348,0.009143160753681335,-2.0389036444645208,0.0,0.0,True,9,False,,1.5357113791768454e-08,0.00010932256295917778,1.535711379175685e-08,5.875520249573639e-06
one_parameter_rollout_supervision,heun,2,2,0.05,0.025,0.005,0.00500013959088223,1.3959088222999239e-07,1.3959088222999239e-07,2.7918176445998477e-05,2.0874572968770857e-06,2.0874572968770857e-06,2.2379893093929683e-06,1.5053201251588262e-07,1.5048880446295848e-07,1.3874172559556757e-07,2.9747050597827923e-07,1.7370237495198257e-08,3.119588076412204e-05,2.7933677000263343e-05,0.0720919200062657,-1.142113407864945,0.009535570039759737,-2.0206533395637325,0.0,0.0,True,8,False,1.9693145718619787,1.0015302893362486e-09,2.791817644597272e-05,1.0015302893360744e-09,1.5004570566167776e-06
one_parameter_rollout_supervision,heun,2,4,0.05,0.0125,0.005,0.005000035234553341,3.523455334095149e-08,3.523455334095149e-08,7.046910668190298e-06,1.321053617388291e-07,1.321053617388291e-07,1.4169427598312882e-07,9.588914244299707e-09,9.588074265680434e-09,8.839628793885993e-09,1.8952806597943512e-08,1.1067876472615734e-09,1.949560757959132e-06,1.7569082988181003e-06,0.07257899406563038,-1.1391890553525106,0.009721577806984568,-2.0122632435863355,0.0,0.0,True,8,False,1.9861418803127973,6.380982080040375e-11,7.046910668142394e-06,6.380982080015005e-11,3.7873486686368e-07
one_parameter_rollout_supervision,heun,2,8,0.05,0.00625,0.005,0.005000008848887298,8.848887298254504e-09,8.848887298254504e-09,1.7697774596509008e-06,8.308356881085895e-09,8.308356881085895e-09,8.913136736817487e-09,6.04779855731592e-10,6.047291478732654e-10,5.575230609755273e-10,1.1953937560559199e-09,6.981354845891225e-11,1.2182932926175142e-07,1.1014182590326935e-07,0.07278564901923518,-1.1379542411010384,0.009812035930096977,-2.0082408701462184,0.0,0.0,True,8,False,1.9934229652423443,4.0246425258739655e-12,1.7697774596175286e-06,4.024642525661194e-12,9.511635127721717e-08
one_parameter_rollout_supervision,heun,2,16,0.05,0.003125,0.005,0.0050000022170601,2.2170600997434287e-09,2.2170600997434287e-09,4.4341201994868573e-07,5.208988410298488e-10,5.208988410298488e-10,5.588659649594176e-10,3.796712392956877e-11,3.795692992424423e-11,3.4993733546838644e-11,7.503647727603554e-11,4.383623310620873e-12,7.613580008828262e-09,6.894156238994952e-09,0.07286814048040703,-1.1374623130798787,0.009855610263375131,-2.0063164788618946,0.0,0.0,True,8,False,1.996848176068314,2.5264163092720837e-13,4.434120199535895e-07,2.52641630954744e-13,2.3831094256886968e-08
one_parameter_rollout_supervision,rk4,4,1,0.05,0.05,0.005,0.004999999478821367,-5.211786332365298e-10,5.211786332365298e-10,1.0423572664730596e-07,5.140645086816089e-12,5.140645086816089e-12,7.237449590601052e-12,2.0968045037849635e-12,2.099159680862358e-12,1.9353689741877945e-12,4.14770437941345e-12,2.417991868934966e-13,2.6951047874041278e-11,1.7022980370447665e-11,0.4083455763647154,-0.38897214479153136,0.15389770367364594,-0.8127678602809609,0.0,0.0,True,8,False,,1.3961214173393778e-14,1.0423572665917125e-07,1.3961214205775879e-14,5.602129211461699e-09
one_parameter_rollout_supervision,rk4,4,2,0.05,0.025,0.005,0.004999999967861014,-3.213898591702957e-11,3.213898591702957e-11,6.4277971834059144e-09,2.0313320632658838e-14,2.0313320632658838e-14,2.8226542494728283e-14,7.913221862069446e-15,8.060451383102511e-15,7.435531998380542e-15,1.58280011966583e-14,9.000347324171275e-16,1.0599552719581938e-13,6.700280747773795e-14,0.3968061908176294,-0.40142156076946867,0.14932706705083099,-0.8258614648443664,0.0,0.0,True,8,False,4.019381625523712,5.309019531404237e-17,6.427797185612456e-09,5.3090195841391546e-17,3.4546073280320706e-10
one_parameter_rollout_supervision,rk4,4,4,0.05,0.0125,0.005,0.004999999997886447,-2.1135532560223602e-12,2.1135532560223602e-12,4.2271065120447204e-10,8.002057750894858e-17,8.002057750894858e-17,1.1031059764634529e-16,3.029002013739671e-17,4.1871060261892376e-17,3.891133719939407e-17,7.527979828177963e-17,3.95348191114744e-18,4.1286739398613513e-16,2.6265208385421095e-16,0.5232536625621078,-0.28128772309449107,0.18233408445014593,-0.7391321393265512,0.0,0.0,True,8,False,3.926582038218385,2.296023900916001e-19,4.2271066567108367e-10,2.2960235834575453e-19,2.2718502356093323e-11
one_parameter_rollout_supervision,rk4,4,8,0.05,0.00625,0.005,0.005,0.0,0.0,0.0,4.376923806704315e-19,4.376923806704315e-19,4.376923806704315e-19,0.0,2.047184192489414e-18,1.916774542930639e-18,3.428122039803022e-18,1.434535129783867e-18,2.0583726820132258e-18,1.0604576512754953e-18,4.677221452549979,0.6699879329496862,1.6654525537377856,0.2215322648006114,0.0,0.0,True,8,False,,0.0,0.0,0.0,0.0
one_parameter_rollout_supervision,rk4,4,16,0.05,0.003125,0.005,0.005,0.0,0.0,0.0,2.3318322923071642e-21,2.3318322923071642e-21,2.3318322923071642e-21,0.0,2.047184192489414e-18,1.916774542930639e-18,3.428122039803022e-18,1.434535129783867e-18,9.015901134747006e-21,4.7951775098008864e-21,877.929428820066,2.943459607129542,380.2306600935479,2.5800471334988524,0.0,0.0,True,8,False,,0.0,0.0,0.0,0.0
one_parameter_rollout_supervision,diffrax_tsit5,adaptive,adaptive,0.05,nan,0.005,0.005000000015097256,1.509725591070099e-11,1.509725591070099e-11,3.019451182140198e-09,1.724361057080945e-15,1.724361057080945e-15,2.047184192489414e-18,-1.7223138728884555e-15,1.724361057080945e-15,1.587792443457097e-15,3.4569755452492473e-15,2.1508783715068697e-16,3.4569755452492473e-15,2.1508783715068697e-16,1.0,0.0,1.0,0.0,0.0,0.0,True,9,False,,1.1715100393951802e-17,3.019451171922027e-09,1.171509980766276e-17,1.622798220156303e-10
