experiment_kind,evaluation_schema_version,training_protocol_version,chunk_size,stage_scale,evaluation_status,evaluation_error_type,evaluation_error,solver_failed,training_config,training_method,train_interval,ratio,seed,regularization_profile,l2_weight,ortho_weight,h_model,num_observed,obs_dt,T_final,evaluation_method,noise_level,coverage_radius,coverage_fraction_high,coverage_fraction_low,coverage_eval_horizon,n_covered_ics,n_partial_ics,n_uncovered_ics,best_loss,best_epoch,best_stage,train_mse,validation_mse,same_ic_extrapolate_mse,same_ic_extrap_mse_h2p5,same_ic_extrap_mse_h5,same_ic_extrap_mse_h10,candidate_ic_extrap_mse_h2p5,candidate_ic_extrap_mse_h5,candidate_ic_extrap_mse_h10,extrapolate_mse,covered_ic_rollout_mse,covered_ic_extrapolate_mse,partial_ic_rollout_mse,partial_ic_extrapolate_mse,uncovered_ic_rollout_mse,uncovered_ic_extrapolate_mse,final_mse,final_l2_error,instability_rate,residual_mse,residual_rel_error,model_vf_mse,model_vf_rel_error,model_vf_mse_seen,model_vf_rel_error_seen,model_vf_mse_unseen,model_vf_rel_error_unseen,model_vf_mse_training_states,model_vf_rel_error_training_states,vf_grid_n_seen,vf_grid_n_unseen,learned_f_physics_a,learned_f_physics_b,learned_f_physics_r,learned_f_physics_z,parameter_importance_protocol_version,parameter_rel_error,parameter_componentwise_rel_rmse,oracle_evaluation_status,oracle_evaluation_error_type,oracle_evaluation_error,oracle_model_vf_rel_error,oracle_same_ic_extrap_mse_h2p5,oracle_candidate_ic_extrap_mse_h2p5,oracle_gain_same_ic_h2p5,oracle_gain_candidate_ic_h2p5,oracle_same_ic_extrap_mse_h5,oracle_candidate_ic_extrap_mse_h5,oracle_gain_same_ic_h5,oracle_gain_candidate_ic_h5,oracle_same_ic_extrap_mse_h10,oracle_candidate_ic_extrap_mse_h10,oracle_gain_same_ic_h10,oracle_gain_candidate_ic_h10
carrying_parameter_importance_sweep,3,2,100,1.0,ok,,,False,rk4_ratio2_T1.25,rk4,1.25,2,0,none,0.0,0.0,0.025,26,0.05,20.0,diffrax_tsit5,0.0,2.5,0.8,0.2,10.0,0,17,3,2.8913436869617814e-07,13000,stage 3 | joint training,6.420925875748956e-07,2.89165015576059e-07,3.5137673109388956,0.003426574664520292,0.24706122311148546,0.31103013399528423,0.0008762061556571258,0.6077681016379748,0.5325173176472777,3.5137673109388956,nan,nan,8.22057553791602,8.790535291107247,0.0006101905341387388,0.0006521250315540242,5.137371771904417,13.599462628668789,0.0,7.94070545458105e-06,0.003511113342407721,7.940705454580631e-06,0.00010171386105072935,1.1779828142807746e-06,5.119963365869485e-05,1.5446584428979377e-05,0.00011740281033648102,4.074343483927489e-05,0.00038132907371434774,303,273,0.9234543129690818,0.04993898922646629,1.5001453196243697,0.030001393739448136,1,0.042437805193130604,0.03827774377117959,ok,,,0.05723241290832211,39.91579120744074,30.31874664493921,8.58450893961349e-05,2.8899814557583397e-05,206.58292034150875,284.0830867173284,0.0011959421558329195,0.002139402625692817,207.7058385188465,246.91589461812802,0.001497454940184847,0.0021566749215187193
carrying_parameter_importance_sweep,3,2,100,1.0,ok,,,False,rk4_ratio2_T1.25,rk4,1.25,2,1,none,0.0,0.0,0.025,26,0.05,20.0,diffrax_tsit5,0.0,2.5,0.8,0.2,10.0,0,17,3,7.193064296053492e-06,3000,stage 2 | open residual slowly,4.4808772892012965e-05,7.1927390015846e-06,6.107445146490776,0.022769414709991345,0.884111561800164,0.8383152596374964,0.008141226222825546,2.187806524125057,1.6019580361286743,6.107445146490776,nan,nan,9.950303476476524,10.640188015982167,0.0024100435773090696,0.0025661718294664663,9.391264373811783,18.38710193198548,0.0,8.737944629077554e-05,0.011506955678744856,8.737944629077521e-05,0.00033740789551506907,4.3251120426068765e-05,0.00031023876113101087,0.00013635703873402083,0.00034881973052843494,0.0010624146571651374,0.0019472339183078606,303,273,0.9268901576579675,0.050069308059221766,1.4999847900801895,0.0299985079725434,1,0.040532866737157565,0.0365614997860089,ok,,,0.05741489045697172,37.95019501091901,28.5938269970999,0.0005999814942568685,0.0002847197132321944,204.5421914134584,284.0599450511439,0.00432239214653289,0.0077019184233494895,198.90984533336558,240.34340523543108,0.004214548848663105,0.006665288088763874
carrying_parameter_importance_sweep,3,2,100,1.0,ok,,,False,rk4_ratio2_T1.25,rk4,1.25,2,2,none,0.0,0.0,0.025,26,0.05,20.0,diffrax_tsit5,0.0,2.5,0.8,0.2,10.0,0,17,3,8.796376483387526e-06,5300,stage 3 | joint training,2.0667403259555333e-05,8.796309772968658e-06,4.3399851993002345,0.020733286130670707,1.0672219259257798,0.8580264684138699,0.006876310207847611,2.9584427207137836,2.004755829024207,4.3399851993002345,nan,nan,6.4941878800798465,6.944449136277303,0.0018057191853733466,0.0019264325387034693,6.375377815780773,15.14970631293253,0.0,3.299669558270707e-05,0.005011996595198438,3.2996695582708295e-05,0.0002073413022940902,2.3738169284366343e-05,0.00022983755212948063,4.327264235339551e-05,0.00019650290237758388,0.0006598771699347947,0.0015346263488053276,303,273,0.9091436742118348,0.05001474869654702,1.5004487235873494,0.030001374532997147,1,0.05037229536566569,0.045428654323993026,ok,,,0.06990895476547085,58.14933053803293,44.2415527340447,0.0003565524476177695,0.00015542651156897586,291.7755118919135,403.44782161354806,0.0036576816162732745,0.0073329004699586395,293.19351657832857,349.4562663988804,0.0029264851365996677,0.005736786035297216
carrying_parameter_importance_sweep,3,2,100,1.0,ok,,,False,rk4_ratio2_T1.25,rk4,1.25,2,0,l2_small,1e-05,0.0,0.025,26,0.05,20.0,diffrax_tsit5,0.0,2.5,0.8,0.2,10.0,0,17,3,1.82854021597074e-06,7500,stage 3 | joint training,4.361186914829742e-06,1.8285446670857624e-06,3.1397966181780976,0.008734759453721416,0.5150963597367411,0.4564156206802775,0.002636987503781891,1.4395538146517048,1.0058291727938038,3.1397966181780976,nan,nan,5.5930609955223245,5.980845963849235,0.0025400026947428765,0.0027141988691363832,4.567437360459326,12.822938234918537,0.0,5.151963115067254e-05,0.010174384662397385,5.151963115067278e-05,0.00025908183803300587,7.201284907372614e-06,0.00012659086662324243,0.00010070812533279714,0.00029977438285031123,0.00015875535422208304,0.0007527231789242294,303,273,0.9267082698959939,0.04988768062896259,1.5000173571208588,0.029998697437144284,1,0.04063373694274986,0.03666308080739441,ok,,,0.053470746755812475,36.529928086367455,27.53555720043046,0.00023911241853719628,9.576662947429195e-05,195.81677617592788,271.71211692419547,0.0026305016852793033,0.005298084719031202,194.81868359282262,233.74579206746927,0.0023427713002834917,0.004303089967512541
carrying_parameter_importance_sweep,3,2,100,1.0,ok,,,False,rk4_ratio2_T1.25,rk4,1.25,2,1,l2_small,1e-05,0.0,0.025,26,0.05,20.0,diffrax_tsit5,0.0,2.5,0.8,0.2,10.0,0,17,3,3.5044808919757725e-06,7000,stage 3 | joint training,9.33531453616931e-06,3.504429481130711e-06,2.630051008433756,0.01236676280314419,0.6936717505556068,0.5391605703882324,0.0039587267002925185,1.9931510225116704,1.3292753897131726,2.630051008433756,nan,nan,4.230582311522539,4.523901616870191,0.0028250886252383775,0.0030177569606917387,3.731749169767371,11.59064148835712,0.0,4.010338311486365e-05,0.007881215056885459,4.010338311486332e-05,0.00022858151272946484,1.1578968744809397e-05,0.0001605211702058774,7.17623485145935e-05,0.0002530524714722008,0.0002807004931254247,0.0010009046036387444,303,273,0.9246915696185448,0.04998212980471584,1.5000964166797064,0.03000222383747504,1,0.04175180284507364,0.037654671193095915,ok,,,0.05719274540314488,39.35902485823318,29.7623142450277,0.0003142039938155881,0.0001330113870749738,209.66859460666848,291.27258584319475,0.0033084198988260942,0.006842906333741504,208.59361889993465,250.58118659278654,0.002584741437593414,0.005304769315636376
carrying_parameter_importance_sweep,3,2,100,1.0,ok,,,False,rk4_ratio2_T1.25,rk4,1.25,2,2,l2_small,1e-05,0.0,0.025,26,0.05,20.0,diffrax_tsit5,0.0,2.5,0.8,0.2,10.0,0,17,3,1.3080312922866774e-05,3000,stage 2 | open residual slowly,7.057834669532792e-05,1.308017298792934e-05,4.235433752357948,0.05293348515031168,1.8168092401038909,1.2949806337566465,0.01987279319110223,4.779117353649481,3.107468082784391,4.235433752357948,nan,nan,6.3005791945804575,6.737410907164792,0.00718201521590617,0.007671662833262712,6.267711944117675,15.021239296018031,0.0,9.11638155043186e-05,0.00929506911289077,9.116381550431899e-05,0.00034463695437234656,8.01632328706103e-05,0.0004223621461167471,0.00010337325337250116,0.0003037150786531483,0.0028391275861160688,0.003183197270472747,303,273,0.9139094104043695,0.04998344232077907,1.4996311105565017,0.02997825723038237,1,0.04772994783255945,0.043047314187232996,ok,,,0.06554083496700622,53.2775379536547,40.08763577932507,0.0009935422540800721,0.0004957337294845159,275.72954760199076,381.660517803894,0.0065890988321875696,0.012521906591619439,274.4598971629069,328.12786036217466,0.004718287251226362,0.009470296363601919
carrying_parameter_importance_sweep,3,2,100,1.0,ok,,,False,rk4_ratio2_T1.25,rk4,1.25,2,0,ortho_small,0.0,0.001,0.025,26,0.05,20.0,diffrax_tsit5,0.0,2.5,0.8,0.2,10.0,0,17,3,5.254818200299824e-06,5500,stage 2 | open residual slowly,2.391083687510059e-05,5.25464594935069e-06,14.764903573943366,0.020102974387095452,0.6966511871861943,1.1169471330958178,0.007445715964832202,1.5725849407922228,1.579440310241746,14.764903573943366,nan,nan,27.329487920835504,29.224330110065225,0.011612717815492682,0.012408800058082047,25.082056668408118,30.049193667429623,0.0,0.0010428093825931726,0.05776270145360185,0.0010428093825931813,0.0011656094558696295,0.000100927452658005,0.0004739167213566355,0.0020881948213124428,0.0013650475156359173,0.00042219326392110623,0.0012275148335245374,303,273,0.9246177082697357,0.049542674159412145,1.5000333698301127,0.030008980840770447,1,0.041793490408746144,0.037967877174040585,ok,,,0.04689430242001877,36.726093253486496,27.251888544331837,0.0005473757921470855,0.00027321834788512575,198.76726263212265,277.0169656372513,0.003504858787915941,0.0056768542575529055,193.3128313681438,233.09191560492891,0.005777925475462643,0.006776040713993518
carrying_parameter_importance_sweep,3,2,100,1.0,ok,,,False,rk4_ratio2_T1.25,rk4,1.25,2,1,ortho_small,0.0,0.001,0.025,26,0.05,20.0,diffrax_tsit5,0.0,2.5,0.8,0.2,10.0,0,17,3,0.018045775806302664,2100,stage 2 | open residual slowly,0.02739783518129794,0.018045775865047756,62.09868296233133,1.223412988875752,32.148753573878594,23.886132240143663,1.11767338875498,73.10287843016667,54.30423338659642,62.09868296233133,nan,nan,182.8483438649722,195.5235196890099,3.219935680421181,3.4386535169280337,43.03363116509818,39.3600142523289,0.0,0.08005128156151961,0.617854214793013,0.08005128156151965,0.01021256283028533,0.054691003426500163,0.01103202715178811,0.10819840344764016,0.009825907873776941,0.17757932310409227,0.02517487350747322,303,273,0.9410976984634255,0.0496632868204087,1.5231460551531306,0.03040951317790889,1,0.035088091690480855,0.031381812140992546,ok,,,0.04106477656760798,23.17442978048239,17.620017856373092,0.05279150341408025,0.06343202361458779,189.61060655705145,302.1060822221495,0.16955145156505402,0.24197751297311268,172.97039074163388,242.60524100461282,0.13809376354952146,0.22383784110238442
carrying_parameter_importance_sweep,3,2,100,1.0,ok,,,False,rk4_ratio2_T1.25,rk4,1.25,2,2,ortho_small,0.0,0.001,0.025,26,0.05,20.0,diffrax_tsit5,0.0,2.5,0.8,0.2,10.0,0,17,3,2.8510016885011217e-06,4900,stage 2 | open residual slowly,1.4773241435754392e-05,2.8509207270446327e-06,9.236252420415552,0.011518693318928115,0.39107340923285994,0.7056801708645076,0.004385759857556788,0.8168259012971449,0.9326514224016835,9.236252420415552,nan,nan,18.70876824875838,20.005908239235573,0.0010856307893881273,0.0011585285037999176,14.701192603885307,23.005280562076855,0.0,0.00022327412516718746,0.026433896867217806,0.00022327412516718963,0.0005393488972481944,6.388151722099884e-05,0.0003770378822760562,0.0004001824043162586,0.0005975733985624642,0.0003899177679056029,0.0011796620596663122,303,273,0.9255443248099197,0.04959118997056775,1.4999464007970666,0.030004369937125592,1,0.04127962418044259,0.03745170329592193,ok,,,0.04766688484584469,35.84545551350329,26.726070305999897,0.0003213431982915827,0.00016410043853592793,190.82355504168007,263.68563125358037,0.002049397985209105,0.003097726248540328,188.36282139477927,225.22945060755103,0.0037463877724867355,0.004140894629391825
carrying_parameter_importance_sweep,3,2,100,1.0,ok,,,False,rk4_ratio2_T1.25,rk4,1.25,2,0,l2_plus_ortho,1e-05,0.001,0.025,26,0.05,20.0,diffrax_tsit5,0.0,2.5,0.8,0.2,10.0,0,17,3,5.512197403439236e-06,5500,stage 2 | open residual slowly,2.611819020284591e-05,5.511996170777919e-06,14.914495404820272,0.021022683011898084,0.716697463893319,1.1364498502848999,0.007829319015090356,1.6188370494210234,1.6117948636310175,14.914495404820272,nan,nan,27.421366835738073,29.322579182703798,0.012536802323047573,0.013396080703252659,25.38063785985586,30.227519960374035,0.0,0.0010918383752120766,0.059084960491921135,0.0010918383752120833,0.0011926960314209984,0.00010561705306850712,0.0004848019958580131,0.0021864356668219874,0.0013967883797030402,0.0004463616095795168,0.0012621603021076152,303,273,0.9247266948037034,0.049547314523309266,1.5000351278144908,0.030009576395416446,1,0.041733053208012495,0.03790825298324125,ok,,,0.04689026812858869,36.66693411092776,27.197986843573005,0.0005733417184075984,0.000287863916550874,198.68048504626177,276.9507608157144,0.0036072866629374093,0.005845216112254,193.04729717079144,232.86644811931933,0.005886898531811415,0.006921541839317002
carrying_parameter_importance_sweep,3,2,100,1.0,ok,,,False,rk4_ratio2_T1.25,rk4,1.25,2,1,l2_plus_ortho,1e-05,0.001,0.025,26,0.05,20.0,diffrax_tsit5,0.0,2.5,0.8,0.2,10.0,0,17,3,4.186482886265813e-06,4600,stage 3 | joint training,2.9884990777846587e-05,4.1863202023031915e-06,9.603227432039192,0.013932628635741538,0.43571326918032166,0.7465703937233199,0.0053431565040851815,0.9069517475967539,0.9996426588222752,9.603227432039192,nan,nan,19.19299103719752,20.523703129089547,0.0033029529846856504,0.0035236532379499916,15.336395943970786,23.497026492365965,0.0,0.0004702244491064237,0.038513852490701425,0.0004702244491064222,0.0007827141769602056,0.00010737268305540419,0.000488814723830518,0.0008729500356026071,0.0008825858395352359,0.0004682828950992716,0.0012927818503530393,303,273,0.9255208913592238,0.049585735053291134,1.4999441707224366,0.0300087310938498,1,0.04129263355842171,0.03746955394001224,ok,,,0.04736179187364744,35.907775046790746,26.73820919814355,0.0003880114715430239,0.00019983224996444267,191.69553455875734,265.011823212304,0.0022729442821046372,0.0034223067356137574,188.97210428405114,226.0694540210721,0.0039506910109923825,0.004421838691790238
carrying_parameter_importance_sweep,3,2,100,1.0,ok,,,False,rk4_ratio2_T1.25,rk4,1.25,2,2,l2_plus_ortho,1e-05,0.001,0.025,26,0.05,20.0,diffrax_tsit5,0.0,2.5,0.8,0.2,10.0,0,17,3,2.668025484741904e-06,5800,stage 2 | open residual slowly,1.3719042892814533e-05,2.667982581948303e-06,8.786383533291875,0.010753263021461401,0.36692277764882913,0.6699662378524848,0.004103127828185603,0.7691075639049187,0.8839315947326201,8.786383533291875,nan,nan,17.856094748002224,19.094116155934035,0.001174229854107318,0.0012533263865975623,13.906549906326921,22.374892103153687,0.0,0.00025714613081916353,0.028878555779703604,0.0002571461308191603,0.0005788160883371868,6.816515460577733e-05,0.00038947410529023633,0.00046689424727577216,0.0006454632541354159,0.0003329549192575391,0.0010900936677545087,303,273,0.9248779751734176,0.04954506129802489,1.49995360967476,0.03000494171530288,1,0.04164919403233482,0.03783561283192626,ok,,,0.04716750782505943,36.19993266373626,26.969181478481286,0.0002970520172329856,0.0001521413555490862,192.40173257661738,265.8198306351069,0.001907065870639771,0.0028933415617161994,190.6357934401665,227.61495283230522,0.0035143779967152853,0.0038834513450610193
carrying_parameter_importance_sweep,3,2,100,1.0,ok,,,False,rk4_ratio2_T2.5,rk4,2.5,2,0,none,0.0,0.0,0.025,51,0.05,20.0,diffrax_tsit5,0.0,2.5,0.8,0.2,10.0,4,16,0,5.7096655909473684e-05,12200,stage 3 | joint training,7.675155959399141e-05,5.709618294658144e-05,0.4886791155985938,0.1524775843671422,0.7284193052844163,0.4075091817993178,0.016705089872518,2.6338768627957188,1.4322918030515517,0.4886791155985938,0.001174511858855744,0.0012535170768619795,1.6187363534898802,1.8545908713249903,nan,nan,0.35449432825980337,3.5723655772265137,0.0,0.0003150906099002009,0.009797458326860948,0.00031509060990020333,0.0006407200688715403,0.00013088102440279886,0.0005431683298886498,0.0005486161474205351,0.0006823851157390915,0.001898297868793069,0.0023291551664364894,322,254,0.8929047114658646,0.05051559220854342,1.5020598999146446,0.029972736586136067,1,0.05938640005188833,0.05380159546773816,ok,,,0.09404703273775092,340.7212842909332,301.84413821272983,0.00044751411607425447,5.5343429796025215e-05,403.53925712077773,569.4821727897537,0.0018050766869167365,0.0046250383043476085,524.3669834907732,629.6114986828676,0.0007771450046043707,0.002274881901057827
carrying_parameter_importance_sweep,3,2,100,1.0,ok,,,False,rk4_ratio2_T2.5,rk4,2.5,2,1,none,0.0,0.0,0.025,51,0.05,20.0,diffrax_tsit5,0.0,2.5,0.8,0.2,10.0,4,16,0,5.412459859415736e-05,14000,stage 3 | joint training,6.107243755418379e-05,5.4123322321340466e-05,1.4101568568416942,0.039552242592140956,0.18232896374513158,0.30635747046907086,0.010277940852614801,0.5239715118680596,0.5816095648054412,1.4101568568416942,0.0008928837708908868,0.0009669721916134968,3.7100286651118872,4.250621529592202,nan,nan,1.7959471735756527,8.040777216707568,0.0,0.00018192101440629103,0.009980001408184882,0.00018192101440629005,0.0004868464767578446,5.1548631561244886e-05,0.00034088246958042173,0.0003471962399027646,0.0005428536458647874,0.001422644719897947,0.002016343269590941,322,254,0.906890649405015,0.0502610658446518,1.5017103975327,0.029983779905522912,1,0.051629693068724454,0.04663208618126757,ok,,,0.07723221875092066,255.4645580928858,221.421672469889,0.00015482477447129782,4.6417953301352855e-05,310.1513529320024,440.48593586987573,0.0005878709282467802,0.0011895306278810345,404.50312015615395,477.16053654432517,0.000757367385326482,0.0012188970383375621
